ZC3H14	autosomal recessive	2
USP27X	x-linked recessive	2
VRK1	autosomal recessive	2
G6PC	autosomal recessive	2
G6PD	x-linked dominant	2
TARS2	autosomal recessive	2
YARS2	autosomal recessive	2
TTBK2	autosomal dominant	2
TNC	autosomal dominant	2
SUN5	autosomal recessive	2
UPB1	autosomal recessive	2
P2RX2	autosomal dominant	2
HFE2	autosomal recessive	2
TNF	autosomal dominant|autosomal dominant vs. multifactorial	2
RNF216	autosomal recessive	2
EGLN1	autosomal dominant	2
TUBB2A	autosomal dominant	2
TUBB2B	autosomal dominant	2
PTDSS1	autosomal dominant	2
RBP3	autosomal recessive	2
RBP4	autosomal dominant|autosomal recessive	2
MALT1	autosomal recessive	2
XRCC1	autosomal recessive	2
MYO1E	autosomal recessive	2
MYC	isolated cases	2
XRCC2	autosomal recessive	2
POF1B	x-linked recessive	2
XRCC3	autosomal dominant	2
XRCC4	autosomal recessive	2
FAR1	autosomal recessive	2
ABCA12	autosomal recessive	2
HIP1	autosomal dominant form	2
ARID2	autosomal dominant	2
TOR1A	autosomal dominant	2
NPHP1	autosomal recessive	2
DCHS1	autosomal dominant|autosomal recessive	2
NPHP3	autosomal recessive	2
RBPJ	autosomal dominant	2
NPHP4	autosomal recessive	2
BICC1	autosomal dominant	2
FLRT3	autosomal dominant (see miscellaneous below)	2
CYP3A5	multifactorial	2
LHFPL5	autosomal recessive	2
BFSP1	autosomal recessive,autosomal dominant	2
IFNAR2	autosomal recessive	2
BFSP2	autosomal dominant	2
NFU1	autosomal recessive	2
VEGFC	autosomal dominant	2
TTLL5	autosomal recessive	2
CCDC103	autosomal recessive	2
FCGR2A	autosomal dominant|autosomal recessive	2
SLC2A10	autosomal recessive	2
POLG2	autosomal dominant	2
FCGR2B	autosomal dominant	2
FCGR2C	autosomal dominant form	2
GABRA1	autosomal dominant	2
GABRA2	probably multifactorial, genetically influenced	2
DISC2	autosomal dominant	2
MGME1	autosomal recessive	2
TGDS	autosomal recessive	2
STUB1	autosomal recessive	2
FKRP	autosomal recessive	2
GNAI2	autosomal dominant	2
VAX1	autosomal recessive	2
GNAI3	autosomal dominant	2
